"integrante","repeticion","modo","rectangulos","hilos","area","segundos"
"Daniel_Chet","1","secuencial","1000000000","1","30.808212536441104","37.3935461"
"Daniel_Chet","2","secuencial","1000000000","1","30.808212536441104","37.2766928"
"Daniel_Chet","3","secuencial","1000000000","1","30.808212536441104","37.3145108"
"Daniel_Chet","4","secuencial","1000000000","1","30.808212536441104","37.266846"
"Daniel_Chet","5","secuencial","1000000000","1","30.808212536441104","37.2864513"
"Daniel_Chet","1","paralelo","1000000000","1","30.808212536441104","37.259000062942505"
"Daniel_Chet","2","paralelo","1000000000","1","30.808212536441104","37.2720000743866"
"Daniel_Chet","3","paralelo","1000000000","1","30.808212536441104","37.3050000667572"
"Daniel_Chet","4","paralelo","1000000000","1","30.808212536441104","37.28399991989136"
"Daniel_Chet","5","paralelo","1000000000","1","30.808212536441104","37.34699988365173"
"Daniel_Chet","1","paralelo","1000000000","2","30.80821253642497","19.383999824523926"
"Daniel_Chet","2","paralelo","1000000000","2","30.80821253642497","19.167999982833862"
"Daniel_Chet","3","paralelo","1000000000","2","30.80821253642497","19.085999965667725"
"Daniel_Chet","4","paralelo","1000000000","2","30.80821253642497","19.194000005722046"
"Daniel_Chet","5","paralelo","1000000000","2","30.80821253642497","19.102999925613403"
"Daniel_Chet","1","paralelo","1000000000","4","30.80821253638002","9.730999946594238"
"Daniel_Chet","2","paralelo","1000000000","4","30.808212536380026","10.28600001335144"
"Daniel_Chet","3","paralelo","1000000000","4","30.808212536380026","9.872000217437744"
"Daniel_Chet","4","paralelo","1000000000","4","30.808212536380026","10.452999830245972"
"Daniel_Chet","5","paralelo","1000000000","4","30.808212536380026","9.888000011444092"
"Daniel_Chet","1","paralelo","1000000000","8","30.80821253637975","5.375"
"Daniel_Chet","2","paralelo","1000000000","8","30.80821253637975","5.460000038146973"
"Daniel_Chet","3","paralelo","1000000000","8","30.80821253637975","5.519000053405762"
"Daniel_Chet","4","paralelo","1000000000","8","30.80821253637975","5.46399998664856"
"Daniel_Chet","5","paralelo","1000000000","8","30.80821253637974","5.396000146865845"
"Daniel_Chet","1","paralelo","1000000000","16","30.808212536379642","3.7840001583099365"
"Daniel_Chet","2","paralelo","1000000000","16","30.808212536379635","3.748000144958496"
"Daniel_Chet","3","paralelo","1000000000","16","30.80821253637964","3.807999849319458"
"Daniel_Chet","4","paralelo","1000000000","16","30.808212536379642","3.821000099182129"
"Daniel_Chet","5","paralelo","1000000000","16","30.808212536379635","3.7799999713897705"
"Daniel_Chet","1","paralelo","1000000000","32","30.808212536379838","2.684000015258789"
"Daniel_Chet","2","paralelo","1000000000","32","30.808212536379834","2.624000072479248"
"Daniel_Chet","3","paralelo","1000000000","32","30.808212536379834","2.626000165939331"
"Daniel_Chet","4","paralelo","1000000000","32","30.808212536379845","2.6430001258850098"
"Daniel_Chet","5","paralelo","1000000000","32","30.808212536379838","2.6489999294281006"
